protocol,address,token0_symbol,token1_symbol,tickSpacing,fee,token0_address,token1_address,decimals0,decimals1,dex
UniswapV3CL,0x61a6265ddf602c72ce2ca6469371e79deab095b6,WBNB,TEST,60,3000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf4098cf7e0b20ad1dde9c2263298e25046fe9960,18,18,UniswapV3CL
UniswapV3CL,0x4a68f419a7c43a869c30533b6f7ea8f1e7cb54c4,TEST,WBNB,60,3000,0x589e22317c2972c26ee5941ce3908137b3248955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
UniswapV3CL,0xc3879d1c5badab89d985c42345b573cb10b7271e,TEST,WBNB,60,3000,0xa063e16be0f48748141269729b667f7f8a29435b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
PancakeSwapV3,0x9aac48b59a091d7772fc2cb80193987cb89a5cdb,XLM,USDT,10,500,0x07ea3fe672be60113353df8a822887bd8a455914,0x55d398326f99059ff775485246999027b3197955,6,18,PancakeSwapV3
PancakeSwapV3,0xdb4725785b9b0ea9da9bbc4cd002a415b457a0e0,USDT,BUSD,1,100,0xdd3844401ccd9973f8f8b44a57ca5a4a377aa04a,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18,PancakeSwapV3
PancakeSwapV3,0x0c461965f9b0b9a49485b29e81c3afe4396371e7,USDT,USDC,1,100,0x55d398326f99059ff775485246999027b3197955,0xb5f7816a40eb56dda6744fa0901394269162f174,18,18,PancakeSwapV3
PancakeSwapV3,0x92bb545f877e36395c1410130ce72c6726f55189,USDT,USD1,1,100,0x55d398326f99059ff775485246999027b3197955,0xc7493f20a424427319c3aa8f09c0e85e769f936f,18,18,PancakeSwapV3
PancakeSwapV3,0x58a9599ab736e54a50c632f910094149a7f2a8a1,Tmascot,WBNB,50,2500,0x7c263bd3bf8611061c304322cb9b41cb1e078211,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xc734979d9c85b78c0dac2c9e00abb37012196c4c,USDT,RON,1,100,0x55d398326f99059ff775485246999027b3197955,0xa8bec752f2dcb85814d12d9d49105bffa533adb0,18,18,PancakeSwapV3
UniswapV3CL,0x70795f33e5e54d6d557a1d7e294f6219c7305b1e,WBNB,MFT,10,500,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd35a9b7aa491c9e502766d38da578239d8afbcd3,18,18,UniswapV3CL
PancakeSwapV3,0xff5b9aa7ce18c3257e23565618bc89598a1393dc,USDT,TON,10,500,0x55d398326f99059ff775485246999027b3197955,0x7ece09a997cf0614e558b96745aea74d71b42594,18,6,PancakeSwapV3
PancakeSwapV3,0xf9ee49b00b3bb85190c64008cd3271c4a13f1744,69.4.20,WBNB,1,100,0x35c681e3090a37bfb9e294c61323ae920230048c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xb198217d86b811279babd61ca3dbecfbd2fe4d5a,KICK,WBNB,50,2500,0x71e3bc2b5d10cf3e665970ed1781f2b5b3428ec6,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x9a5fea80263bacc9c35810cdabcb1b2041f322bb,XMR,USDT,10,500,0x322187f7388d8737c280c473df905ac57280c179,0x55d398326f99059ff775485246999027b3197955,8,18,PancakeSwapV3
PancakeSwapV3,0x5ecebf93f9235347c4f44d4be56c46eef67b8279,ECB,USDT,1,100,0x21862b543fc442fb3f06c182ec791cb164b9bd5a,0x55d398326f99059ff775485246999027b3197955,18,18,PancakeSwapV3
PancakeSwapV3,0x9bd268089f8b14f7f5e5fe262bd81f83fa93142a,USDT,USDC,1,100,0x55d398326f99059ff775485246999027b3197955,0xcb683bef41c2f32f830751095fcb422af23c55b3,18,18,PancakeSwapV3
PancakeSwapV3,0xbee8b42af5b7c554a9f80ac7fdb571556de4680b,USDT,USD,1,100,0x55d398326f99059ff775485246999027b3197955,0xc9a28366b00eb233e314db413e65ed0010a1ebbc,18,18,PancakeSwapV3
PancakeSwapV3,0x0469d83687865733f43c0474319eb09b4442fd29,WBNB,EURC,1,100,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd15b450570c089d1dc1f0ab6ee7aea976a9116f9,18,18,PancakeSwapV3
UniswapV3CL,0x4a13a07611f684b7924aa573decde1e27d15ce46,DTOMS,WBNB,200,10000,0xb145d6b6f8c13246d34f2bd202a329e2999866da,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
PancakeSwapV3,0x98b30902f64f8593001cd44309f1c48892f25a52,USDT,Eva,10,500,0x55d398326f99059ff775485246999027b3197955,0xba0949aa20720cc4f4361afbf7484da99bd89b89,18,18,PancakeSwapV3
PancakeSwapV3,0xaf68d829a8717c0dcbc83b217a4284c47fe94601,SHIFU,WBNB,50,2500,0x8522af786ec6258b025572b45e4f085102c59dcf,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x169227cd7e6ef755d2e35aea89fa4a187da643ae,USDT,?,1,100,0x55d398326f99059ff775485246999027b3197955,0xd3442f29fd9db74968e72c661c8e745bce52f7d6,18,18,PancakeSwapV3
PancakeSwapV3,0xfdbeb4edd454bc8b57dc1318e5f4abd19a5b9927,D 1,USDT,1,100,0x5554d5d0fb4b668075dbb3977605aa7e75470d96,0x55d398326f99059ff775485246999027b3197955,18,18,PancakeSwapV3
PancakeSwapV3,0x70463ebc8be75d5bf2b9031129a56c850b953fcb,Broccoli,WBNB,50,2500,0x43533c4839263cb04f653a1009b64575f62ef0b4,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xfb3855ff776786fc4deb9a3761cc8afc19157176,CCCM,WBNB,50,2500,0x10fd456b1a61ac6309d8a007f5570878f0bc659e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x3ba14b6cfde6825f829986681c710d368cac5b63,WBNB,CZ,1,100,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf7dbefdbed5beb6514e4828ba41dbd6922b934db,18,18,PancakeSwapV3
PancakeSwapV3,0x5205fbd874b20964d71f8c91a167811c291b968b,USDT,MNT21,1,100,0x55d398326f99059ff775485246999027b3197955,0xb7b974dd8d555d3f5f9f88cdd25498245985d23f,18,18,PancakeSwapV3
PancakeSwapV3,0xf87a9d04badff34f7f8c48bae33d146ffdf26f64,BB,USDT,1,100,0x2c6471375da76b17b927b832e91549000f8b5e88,0x55d398326f99059ff775485246999027b3197955,18,18,PancakeSwapV3
PancakeSwapV3,0xe522f36a56304d206d5cc617eda393e2e78d364c,$WLFI,WBNB,50,2500,0x761de77e69d6a20a4b1e29129be33062cca83757,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
UniswapV3CL,0xdcbf723dac149a2148210d87ca02986ab50ca37b,ETH,POL,10,500,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x893f933dbf65adc426e288b3ac87ba2da57a8e43,18,18,UniswapV3CL
PancakeSwapV3,0xb42ba5fe07d59119378a47fd3746d6df35d55768,USDX,USDT,1,100,0x510da5f720b00d59a53cf8d7aa453b5231b88888,0x55d398326f99059ff775485246999027b3197955,18,18,PancakeSwapV3
PancakeSwapV3,0x94002a96df7d7b8d83581780b83a559585471158,USDT,USDT,1,100,0x55d398326f99059ff775485246999027b3197955,0xeaaf7d552b1b214b232a7ceb7939aa5b0f9c7ad9,18,18,PancakeSwapV3
UniswapV3CL,0x1a2d79edf1cde53ae9a2310fb3a0bd345ab1a4cc,X,USDT,1,100,0x1d236c28589a7fd0fe9186c6a9f44cedf3f141c3,0x55d398326f99059ff775485246999027b3197955,18,18,UniswapV3CL
UniswapV3CL,0xd7f86643360388b2a3327fc8665a2a44ed031c1e,ZEN,USDT,1,100,0x05154f52d27e630d736dc7341a4f13092550f7db,0x55d398326f99059ff775485246999027b3197955,8,18,UniswapV3CL
PancakeSwapV3,0x530efec62b75409dc1e4b3d02315310447ccf16d,USDT,VIRTUAL,10,500,0x55d398326f99059ff775485246999027b3197955,0x5e2bdc9d8fa761d2c7d147c5ec2ddb15820b8b33,18,8,PancakeSwapV3
UniswapV3CL,0xa5b7912effda3f58798cda113a659ae7ad459f05,USDT,X,1,100,0x55d398326f99059ff775485246999027b3197955,0x999999999567c5e3fd90cf9671b8368e1a7cf66a,18,18,UniswapV3CL
UniswapV3CL,0x179456ea8a791811730497cc341c9d91dc253ebb,WBNB,EFC,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd8a9f1a8e976b6b5c538d1b62b686c5557c92130,18,18,UniswapV3CL
PancakeSwapV3,0xee470bd88a4b5d7c464472a9a670552164669317,OMNI,WBNB,10,500,0x87174c5ce67e84b2413a2e82380ceef3fc38b1d0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xf4a52dc84bd67dbcf26bc509fd6e6f120bf11c05,TST,WBNB,10,500,0x7fe37b5048f7f51e2b45096a2080f34ddbda470f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xa156fb4b1e53c25a96d49576900c3619c408c70e,TST2,WBNB,10,500,0x5368a718c6a5be6d08ecb26d8250fd6059ae1382,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x739a322fe2e9be306b9f3a3a2c5e79c43c64c63c,TST,WBNB,10,500,0x5045bde9e5ccf6327c4347a04bf3b68d2129bb3a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x69b2fc127167244f8ec0afb524067ce25e2c2dee,STAR10,WBNB,50,2500,0x50abfe7a15cce4f351a7266c2c49686bd5c9696d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x999399fb03915c9c1c8fb42c57092cbd825a0c69,USDT,D1,1,100,0x55d398326f99059ff775485246999027b3197955,0xb6fdb7d804e0bda9037836904f6e07df10666c22,18,18,PancakeSwapV3
PancakeSwapV3,0x64f63bb92702449f67b15c3dc4f65c83d0bdf0b7,USDT,RZUSD,1,100,0x55d398326f99059ff775485246999027b3197955,0xc4a1cc5ca8955a4650bdc109bddf110e33a1e344,18,18,PancakeSwapV3
PancakeSwapV3,0x69f6d78dd86b1df098ee57aa91b024a065abe9be,USDT,PTSDT,1,100,0x55d398326f99059ff775485246999027b3197955,0xe66b569dfa2a0265c866ad15c0edf4baebbfe42b,18,18,PancakeSwapV3
PancakeSwapV3,0x55efe857258293ca91f54077d812016ddecd3427,test,WBNB,10,500,0x9dc35fc991de4eab00d49c24691e235d86e2a518,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x202744d509174c9ea8d7f5f0bb0961b8a8429986,Test,WBNB,10,500,0x226208d81231ddf81d6edf80e69ce49bae0c50e2,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xe85a90c4de0faec722cf614bc87d508d6a3801bd,Test,WBNB,10,500,0x6d8799761ed8236baef25bc8ce1804bf7159f8cf,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
